mod,sub,nrom,departamento,categorias,co2abs,co2,ch4,n2o,hfc-23,hfc-32,hfc-125,hfc-134a,hfc-143a,hfc-152a,hfc-227ea,hfc-236fa,hfc-245fa,hfc-365mfc,hfc-43-10mee,pfc-14,pfc-116,sf6,co2abseq,co2eq,ch4eq,n2oeq,hfc-23eq,hfc-32eq,hfc-125eq,hfc-134aeq,hfc-143aeq,hfc-152aeq,hfc-227eaeq,hfc-236faeq,hfc-245faeq,hfc-365mfceq,hfc-43-10meeeq,pfc-14eq,pfc-116eq,sf6eq,abosorciones_totales,emisiones_totales,emisiones_netas,sector_principal
1.0,b,,AMAZONAS,1A5b - Móvil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Energía
1.0,b,i,AMAZONAS,1A5bi - Móvil (componente aviación),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Energía
1.0,b,ii,AMAZONAS,1A5bii - Móvil (componente del sector marítimo y fluvial),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Energía
1.0,b,iii,AMAZONAS,1A5biii - Móvil (otros),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Energía
1.0,,,AMAZONAS,1B - Emisiones fugitivas provenientes de la fabricación de combustible,,0,0.0,0.0,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,0,0,Energía
1.0,,,AMAZONAS,1B1 - Combustibles sólidos,,0,0.0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,Energía
1.0,a,,AMAZONAS,1B1a - Minería carbonífera y manejo del carbón,,0,0.0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,Energía
1.0,a,i,AMAZONAS,1B1ai - Minas subterráneas,,0,0.0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,Energía
1.0,a,i,AMAZONAS,1B1ai1 - Minería,,0,0.0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,Energía
1.0,a,i,AMAZONAS,1B1ai2 - Emisiones posteriores a la minería,,0,0.0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,Energía
1.0,a,i,AMAZONAS,1B1ai3 - Minas subterráneas abandonadas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Energía
1.0,a,i,AMAZONAS,1B1ai4 - Quema en antorcha de metano drenado o conversión de metano en CO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Energía
1.0,a,ii,AMAZONAS,1B1aii - Minas de superficie,,0,0.0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,Energía
1.0,a,ii,AMAZONAS,1B1aii1 - Minería,,0,0.0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,Energía
1.0,a,ii,AMAZONAS,1B1aii2 - Emisiones posteriores a la minería,,,0.0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,0,Energía
1.0,b,,AMAZONAS,1B1b - Combustión espontánea y vertederos para quema de carbón,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Energía
1.0,c,,AMAZONAS,1B1c - Transformación de combustibles sólidos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Energía
1.0,,,AMAZONAS,1B2 - Petróleo y gas natural,,0,0.0,0.0,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,0,0,Energía
1.0,a,,AMAZONAS,1B2a - Petróleo,,0,0.0,0.0,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,0,0,Energía
1.0,a,i,AMAZONAS,1B2ai - Venteo,,0,0.0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,Energía
1.0,a,ii,AMAZONAS,1B2aii - Quema en antorcha,,0,0.0,0.0,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,0,0,Energía
1.0,a,iii,AMAZONAS,1B2aiii - Todos los demás,,0,0.0,0.0,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,0,0,Energía
1.0,a,iii,AMAZONAS,1B2aiii1 - Exploración,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Energía
1.0,a,iii,AMAZONAS,1B2aiii2 - Producción y refinación,,0,0.0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,Energía
1.0,a,iii,AMAZONAS,1B2aiii3 - Transporte,,0,0.0,0.0,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,0,0,Energía
1.0,a,iii,AMAZONAS,1B2aiii4 - Refinación,,,0.0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,0,Energía
1.0,a,iii,AMAZONAS,1B2aiii5 - Distribución de productos de petróleo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Energía
1.0,a,iii,AMAZONAS,1B2aiii6 - Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Energía
1.0,b,,AMAZONAS,1B2b - Gas Natural,,0,0.0,0.0,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,0,0,Energía
1.0,b,i,AMAZONAS,1B2bi - Venteo,,0,0.0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,Energía
1.0,b,ii,AMAZONAS,1B2bii - Quema en antorcha,,0,0.0,0.0,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,0,0,Energía
1.0,b,iii,AMAZONAS,1B2biii - Todos los demás,,0,0.0,0.0,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,0,0,Energía
1.0,b,iii,AMAZONAS,1B2biii1 - Exploración,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Energía
1.0,b,iii,AMAZONAS,1B2biii2 - Producción,,0,0.0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,Energía
1.0,b,iii,AMAZONAS,1B2biii3 - Procesamiento,,0,0.0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,Energía
1.0,b,iii,AMAZONAS,1B2biii4 - Transmisión y almacenamiento,,0,0.0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,Energía
1.0,b,iii,AMAZONAS,1B2biii5 - Distribución,,0,0.0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,Energía
1.0,b,iii,AMAZONAS,1B2biii6 - Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Energía
1.0,,,AMAZONAS,1B3 - Otras emisiones provenientes de la producción de energía,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Energía
2.0,,,AMAZONAS,2 - Procesos Industriales y Uso de Productos,,0.0327244293,0.0,0.0,1.9e-09,6.48243e-05,0.0001801057,0.000732399,9.96994e-05,0.0,1.211e-07,1.4e-09,8.45e-08,1.3953e-06,,1.1e-09,1.1e-09,0.0,,0.0327244293,0,0,2.40245e-05,0.0438860325,0.5709350132,0.9521186811,0.4785570371,0.0,0.0004057391,1.12137e-05,7.25103e-05,0.0011218076,,7.4503e-06,1.19979e-05,0.0,,2.079875936,2.079875936,Procesos Industriales
2.0,,,AMAZONAS,2A - Industria de los minerales,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,0,Procesos Industriales
2.0,,,AMAZONAS,2A1 - Producción de cemento,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,0,Procesos Industriales
2.0,,,AMAZONAS,2A2 - Producción de cal,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,0,Procesos Industriales
